"","Proximity_Cluster","SampleID"
"245",4,"BA3079R"
"246",1,"BA2361R"
"247",4,"BA2472R"
"248",2,"BA2047R"
"249",1,"BA2101R"
"250",4,"BA2456R"
"251",3,"BA2507R"
"252",3,"BA2563R"
"253",3,"BA2984R"
"254",4,"BA2414R"
"255",1,"BA2697R"
"256",1,"BA2644R"
"257",1,"BA2011R"
"258",2,"BA2217R"
"259",3,"BA2454R"
"260",3,"BA2776R"
"261",4,"BA2135R"
"262",1,"BA2914R"
"263",2,"BA2500R"
"264",3,"BA3108R"
"265",3,"BA2303R"
"266",3,"BA2160R"
"267",3,"BA2590R"
"268",3,"BA3195R"
"269",3,"BA3036R"
"270",1,"BA2971R"
"271",4,"BA3410R"
"272",1,"BA3118R"
"273",3,"BA3206R"
"274",3,"BA3217R"
"275",3,"BA3405R"
"276",3,"BA3306R"
"277",2,"BA3413R"
"278",1,"BA3411R"
"279",4,"BA3133R"
"280",1,"BA3451R"
"281",3,"BA3286R"
"282",3,"BA3212R"
"283",1,"BA3103R"
"284",3,"BA3271R"
"285",4,"BA3152R"
"286",3,"BA3095R"
"287",3,"BA3251R"
"288",3,"BA3362R"
"289",3,"BA3135R"
"290",3,"BA3408R"
"291",3,"BA3435R"
"292",3,"BA3261R"
"293",4,"BA3203R"
"294",1,"BA3299R"
"295",1,"BA3347R"
"296",1,"BA3126R"
"297",4,"BA3418R"
"298",4,"BA3245R"
"299",2,"BA3085R"
"300",4,"BA3171R"
"301",3,"BA3277R"
"302",2,"BA3157R"
"303",3,"BA3433R"
"304",3,"BA3374R"
"305",3,"BA3167R"
"306",3,"BA3269R"
"307",4,"BA3110R"
"308",4,"BA3156R"
"309",3,"BA3226R"
"310",1,"BA3421R"
"311",3,"BA3232R"
"312",1,"BA3289R"
"313",1,"BA3430R"
"314",3,"BA3384R"
"315",4,"BA3427R"
"316",4,"BA3449R"
"317",4,"BA3163R"
"318",3,"BA3436R"
"319",4,"BA3154R"
"320",1,"BA3162R"
"321",3,"BA3352R"
"322",3,"BA3084R"
"323",1,"BA3149R"
"324",1,"BA3169R"
"325",3,"BA3180R"
"326",3,"BA3255R"
"327",3,"BA3438R"
"328",1,"BA3345R"
"329",1,"BA3431R"
"330",3,"BA3181R"
"331",4,"BA3341R"
"332",1,"BA3191R"
"333",3,"BA3197R"
"334",3,"BA3448R"
"335",1,"BA3453R"
"336",3,"BA3406R"
"337",1,"BA3334R"
"338",3,"BA3447R"
"339",1,"BA3116R"
"340",3,"BA3280R"
"341",3,"BA3185R"
"342",3,"BA3094R"
"343",3,"BA3318R"
"344",4,"BA3216R"
"345",3,"BA3332R"
"346",4,"BA3373R"
"347",1,"BA3319R"
"348",3,"BA3328R"
"349",3,"BA3240R"
"350",3,"BA3142R"
"351",3,"BA3333R"
"352",4,"BA3381R"
"353",3,"BA3290R"
"354",3,"BA3207R"
"355",3,"BA3305R"
"356",4,"BA3434R"
"357",2,"BA3264R"
"358",4,"BA3329R"
"359",3,"BA3225R"
"360",3,"BA3397R"
"361",3,"BA3311R"
"362",3,"BA3422R"
"363",1,"BA3213R"
"364",4,"BA3415R"
"365",3,"BA3270R"
"366",4,"BA3324R"
"367",3,"BA3335R"
"368",3,"BA3199R"
"369",4,"BA3326R"
"370",3,"BA3297R"
"371",3,"BA3227R"
"372",3,"BA3412R"
"373",1,"BA3250R"
"374",3,"BA3177R"
"375",4,"BA3315R"
"376",3,"BA3369R"
"377",3,"BA3078R"
"378",3,"BA3386R"
"379",3,"BA3176R"
"380",3,"BA3258R"
"381",1,"BA3295R"
"382",3,"BA3136R"
"383",3,"BA3234R"
"384",3,"BA3087R"
"385",3,"BA3454R"
"386",3,"BA3302R"
"387",2,"BA3117R"
"388",3,"BA3266R"
"389",4,"BA3268R"
"390",4,"BA3229R"
"391",3,"BA3353R"
"392",2,"BA3312R"
"393",3,"BA3119R"
"394",3,"BA3219R"
"395",2,"BA3351R"
"396",2,"BA3357R"
"397",3,"BA3208R"
"398",3,"BA3310R"
"399",3,"BA3200R"
"400",3,"BA3146R"
"401",3,"BA3211R"
"402",1,"BA3130R"
"403",3,"BA3376R"
"404",1,"BA3137R"
"405",3,"BA3375R"
"406",3,"BA3385R"
"407",3,"BA3416R"
"408",4,"BA3123R"
