sample	T-cells	B-cells	Treg	Macrophages	Th1 cells	CD45	Exhausted CD8	DC	Cytotoxic cells	NK CD56dim cells	Neutrophils	Mast cells	NK cells	CD8 T cells	igA_Bcells	igG_Bcells	igMD_Bcells
BA2488R	5.9587025486666665	0.5210295296666666	0.23878428	0.4481526835000001	3.506696549	9.195129517	4.889938771000001	-2.914937222	5.4926928051	-0.7184190246666667	4.390433647714286	7.713552332	0.9873211483333334	5.0180934765	5.750777905	4.9640766055	4.8014892924999995
BA3379R	6.261221782	2.4423730973333333	0.664550639	3.5755205525	2.275987313	8.985186514	4.0957534385	1.604282899	4.0714097711	-0.39851176566666674	5.057822908285714	2.0654217834	0.232388657	2.9543203635	7.974665804	4.8109034145	6.7908349225
BA2887R	3.5875712385000003	1.0487709412222224	1.139679676	2.14667874675	3.470017001	8.212229362	5.943699185	4.363116726	4.254976931	-0.37853710766666676	5.127808124142858	1.8390440623999997	0.5406918783333333	2.7261767409999997	6.9337469285	3.52905670675	4.19765429
BA2712R	2.476103671333333	1.4436358528888888	0.880316656	5.27297515525	1.085955021	9.584085441	3.541446784	6.056922033	3.3503339675	-0.6950132316666666	3.603373763285714	0.7307608962	0.159784398	3.001898248	4.536172328	2.01123060375	5.617883887
BA2858R	2.2309162293333333	0.8326741705555555	-2.151569342	4.92381997625	2.318122323	8.162542964	4.18697635975	-1.270364312	4.2445645668	-2.1211278216666667	7.826369846142857	1.9430347106	2.597032246	3.003538986	8.5910751265	7.692410757999999	6.9583624405
BA2068R	3.4946410796666667	1.6747396817777778	-0.038848476	1.2202278545	1.700409312	8.748005714	4.40454525425	-3.476815391	4.1902409339	-0.3524972413333334	2.753419697714286	5.2108550908	1.905447667	4.054729599	9.354470706499999	8.62715861525	6.958352098500001
BA2104R	1.6850606275	0.3242403505555556	0.655067771	6.49210951675	1.403935493	10.00074684	3.51802218475	1.597302547	3.0398058797	-0.5577489303333333	6.517803774714286	-0.5575933062	0.5874118883333334	1.429207695	5.6465964060000005	2.3738980565	3.6419536784999997
BA3124R	8.234226152333333	2.9603747771111113	4.043546016	2.0629414072500003	6.065521418	9.803944134	5.38691037375	-4.122159479	6.7462785365	1.5028989329999998	5.7261647245714284	2.7820719048	3.8927620763333333	7.836680842	8.749530245999999	6.19155985375	8.194350605
BA2921R	4.534912584833333	-0.36124411911111115	1.610296785	1.7537034374999998	3.59566377	7.287122386	5.144947447	-4.135089305	2.9445745795000002	-1.4349834856666666	3.1927354342857144	3.6931570792	-0.5296035376666667	2.0887727495	5.7583702845	3.935294262	6.119570744000001
BA2449R	2.510897684833333	0.41545124288888896	-0.258971395	0.7219365065	0.623156646	7.290773911	2.84400399475	-3.840241823	1.4221727216	-1.4115543933333334	4.211133325428571	3.5305704402	-0.715371942	2.6216152790000002	4.6459946325	4.0212802637500005	4.307991683
BA2360R	3.1083646540000003	1.550341961	0.301411359	3.146835559	1.845452255	7.962603464	4.11080828675	1.928060593	4.0425270261	-0.26589165366666667	3.500952465857143	3.7341386638	-0.07972743266666667	2.2650524945	8.544732985	7.363827731	5.643078221
BA2802R	6.069112133	-0.4968931325555555	1.158517309	2.613093584	2.718149952	8.833621863	4.88040363075	-2.259910978	5.2057055549	-0.04883247966666667	6.9671288975714285	5.727556193	2.1057585193333335	4.209236521	3.3416766275	1.56350666875	7.690019642
BA2235R	4.6154327355	2.8333393292222224	1.701306886	3.46638781525	3.047602763	9.725307805	4.7163428555	-2.483347831	4.5290821789	0.279214826	6.366426263285714	4.182166625	1.2469076723333332	4.0637658325	10.033247504999999	6.6304068345000005	8.153062435
BA3038R	3.6998722401666666	2.5578443446666665	0.363076227	5.2169153462499995	2.213823594	9.242989414	4.4228739135	2.161017373	4.135988947	-0.8050003713333334	7.2144781785714285	6.9068389486	0.2562964396666667	3.027339969	10.346885124	8.38676025225	7.557654621
BA3006R	2.5474899245	1.462878992888889	-1.183186756	1.56634047525	-0.206871603	9.02011486	3.27237633725	-4.107663988	2.3825308592	-1.3925961816666668	3.057435175142857	3.893704811	-1.8502076273333334	1.478011173	0.810465323	-0.23009087625000002	6.754171295999999
BA2245R	4.9526939825	-0.6568559658888888	1.772904269	2.01731649825	2.300074628	7.999155148	5.05241657025	-4.203540184	3.9736518032	0.3027492396666666	2.8029659235714286	5.0297154854	0.30059587033333335	2.723269025	-0.2947764595	-1.550393243	6.8167085059999994
BA2667R	4.9632648223333335	3.433179846333333	2.048335989	4.3811216235	4.206360901	9.118350644	5.266299025	1.372923259	5.7160017275	0.49000569200000005	6.440040450714286	4.7400327362	2.029778909	4.7513555885	9.451767175	8.22717807925	8.6536412565
BA2239R	3.054836459166667	2.1765073394444445	-0.387302959	4.45313549425	2.252313884	9.655715381	3.39206178025	0.935170536	3.246276877	-0.9028224043333334	5.7057213234285715	3.1597030702	0.5280872563333333	2.0100744905	9.380665234999999	8.37435913525	6.9020086460000005
